ID,Estação,Latitude,Longitude,X,Y
1,Vidigal,-22.9925,-43.23306,681138.532,7456241.298
2,Urca,-22.95583,-43.16667,688004.213,7460236.157
3,Rocinha,-22.98583,-43.245,679831.802,7457041.035
4,Tijuca,-22.93194,-43.22167,682358.108,7462941.416
5,Santa Teresa,-22.93167,-43.19639,684951.792,7462971.838
6,Copacabana,-22.98639,-43.18944,685675.03,7456902.449
7,Grajaú,-22.92222,-43.2675,677639.269,7463809.403
8,Ilha do Governador,-22.81806,-43.21028,683708.659,7475959.609
9,Penha,-22.84444,-43.27528,677059.917,7472757.104
10,Madureira,-22.87333,-43.33889,670409.679,7469665.02
11,Irajá,-22.82694,-43.33694,670692.602,7474733.927
12,Bangu,-22.88028,-43.46583,657403.761,7468956.662
13,Piedade,-22.89182,-43.31005,673344.642,7467452.646
14,Jacarepaguá/Tanque,-22.9125,-43.36472,667541.219,7465482.186
15,Saúde,-22.89606,-43.18786,685875.072,7466833.239
16,Jardim Botânico,-22.97278,-43.22389,682133.53,7458453.116
17,Barra/Barrinha,-23.00849,-43.29965,674262.081,7454520.709
18,Jacarepaguá/Cidade de Deus,-22.94556,-43.36278,667928.198,7461632.847
19,Barra/Riocentro,-22.97721,-43.39155,664879.4,7458100
20,Guaratiba,-23.05028,-43.59472,643972.241,7450214.26
21,Est. Grajaú/Jacarepaguá,-22.92556,-43.31583,672722.551,7463726.025
22,Santa Cruz,-22.90944,-43.68444,634915.936,7465594.315
23,Grande Méier,-22.89056,-43.27806,676628.743,7467665.546
24,Anchieta,-22.82694,-43.40333,663886.431,7474809.856
25,Grota Funda,-23.01444,-43.52139,651526.394,7454108.412
26,Campo Grande,-22.90361,-43.56194,647538.728,7466493.819
27,Sepetiba,-22.96889,-43.71167,632068.601,7459406.612
28,Alto da Boa Vista,-22.96583,-43.27833,676494.085,7459222.483
29,Av. Brasil/Mendanha,-22.85694,-43.54111,649669.378,7471561.078
30,Recreio dos Bandeirantes,-23.01,-43.44056,659816.802,7454514.151
31,Laranjeiras,-22.94056,-43.1875,685883.625,7462252.656
32,São Cristóvão,-22.89667,-43.22167,682404.96,7466817.174
33,Tijuca/Muda,-22.93278,-43.24333,680136.137,7462851.843
