system:index,DSM,cell_id,.geo
00000000000000000000,5.302982694184578,73.0,"{""type"":""Polygon"",""coordinates"":[[[-43.15859072912686,-22.77606675168383],[-43.153718872031384,-22.776010490224333],[-43.15377964653597,-22.77149279374065],[-43.15865134990587,-22.77154905652787],[-43.15859072912686,-22.77606675168383]]]}"
00000000000000000001,8.639673930083097,52.0,"{""type"":""Polygon"",""coordinates"":[[[-43.178003838032815,-22.780803655708628],[-43.17313178742082,-22.78074787972765],[-43.173191873371366,-22.776234633643316],[-43.17806377037501,-22.77629033813878],[-43.178003838032815,-22.780803655708628]]]}"
00000000000000000002,15.100132455319876,71.0,"{""type"":""Polygon"",""coordinates"":[[[-43.15859072912686,-22.77606675168383],[-43.16345775429992,-22.776122873648436],[-43.163397287140555,-22.780636146517008],[-43.15853010827497,-22.780580025468264],[-43.15859072912686,-22.77606675168383]]]}"
00000000000000000003,1.2900332079925174,149.0,"{""type"":""Polygon"",""coordinates"":[[[-43.23150084814335,-22.785919780408467],[-43.22663331091646,-22.785865671323485],[-43.226691634974586,-22.78135229855342],[-43.23155909273046,-22.78140631191953],[-43.23150084814335,-22.785919780408467]]]}"
00000000000000000004,1.376391283900299,158.0,"{""type"":""Polygon"",""coordinates"":[[[-43.22663331091646,-22.785865671323485],[-43.22176094585565,-22.78581142579861],[-43.22181942323882,-22.781298050996497],[-43.226691634974586,-22.78135229855342],[-43.22663331091646,-22.785865671323485]]]}"
00000000000000000005,5.561229032763754,17.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19255104221303,-22.785483071915337],[-43.18767877320066,-22.785427782672627],[-43.18773839849097,-22.78091451759857],[-43.19261051397749,-22.780969808402528],[-43.19255104221303,-22.785483071915337]]]}"
00000000000000000006,9.291407981217711,29.0,"{""type"":""Polygon"",""coordinates"":[[[-43.18767877320066,-22.785427782672627],[-43.182811352932625,-22.785372461868064],[-43.18287113177069,-22.780859122701877],[-43.18773839849097,-22.78091451759857],[-43.18767877320066,-22.785427782672627]]]}"
00000000000000000007,3.03133082234777,40.0,"{""type"":""Polygon"",""coordinates"":[[[-43.178003838032815,-22.780803655708628],[-43.18287113177069,-22.780859122701877],[-43.182811352932625,-22.785372461868064],[-43.17794390561932,-22.78531692322704],[-43.178003838032815,-22.780803655708628]]]}"
00000000000000000008,14.225458535820666,51.0,"{""type"":""Polygon"",""coordinates"":[[[-43.178003838032815,-22.780803655708628],[-43.17794390561932,-22.78531692322704],[-43.173071627492035,-22.785261173365836],[-43.17313178742082,-22.78074787972765],[-43.178003838032815,-22.780803655708628]]]}"
00000000000000000009,9.840766850176708,60.0,"{""type"":""Polygon"",""coordinates"":[[[-43.17313178742082,-22.78074787972765],[-43.173071627492035,-22.785261173365836],[-43.16820427392995,-22.785205367882604],[-43.168264513582784,-22.780692097942683],[-43.17313178742082,-22.78074787972765]]]}"
0000000000000000000a,17.26022435515156,66.0,"{""type"":""Polygon"",""coordinates"":[[[-43.163397287140555,-22.780636146517008],[-43.168264513582784,-22.780692097942683],[-43.16820427392995,-22.785205367882604],[-43.16333689382952,-22.785149344594426],[-43.163397287140555,-22.780636146517008]]]}"
0000000000000000000b,9.994978028876325,70.0,"{""type"":""Polygon"",""coordinates"":[[[-43.163397287140555,-22.780636146517008],[-43.16333689382952,-22.785149344594426],[-43.15846948735021,-22.78509324921757],[-43.15853010827497,-22.780580025468264],[-43.163397287140555,-22.780636146517008]]]}"
0000000000000000000c,4.331210191082804,72.0,"{""type"":""Polygon"",""coordinates"":[[[-43.15853010827497,-22.780580025468264],[-43.15846948735021,-22.78509324921757],[-43.15359732280255,-22.78503691708252],[-43.15365809745358,-22.78052369223913],[-43.15853010827497,-22.780580025468264]]]}"
0000000000000000000d,2.544422752183,148.0,"{""type"":""Polygon"",""coordinates"":[[[-43.23150084814335,-22.785919780408467],[-43.231442677309616,-22.79043317394848],[-43.2265749129626,-22.79037909150697],[-43.22663331091646,-22.785865671323485],[-43.23150084814335,-22.785919780408467]]]}"
0000000000000000000e,4.992462768459007,157.0,"{""type"":""Polygon"",""coordinates"":[[[-43.22663331091646,-22.785865671323485],[-43.2265749129626,-22.79037909150697],[-43.22170239456923,-22.790324848018546],[-43.22176094585565,-22.78581142579861],[-43.22663331091646,-22.785865671323485]]]}"
0000000000000000000f,5.729314057213162,169.0,"{""type"":""Polygon"",""coordinates"":[[[-43.22176094585565,-22.78581142579861],[-43.22170239456923,-22.790324848018546],[-43.21683464657985,-22.790270522993683],[-43.21689335122097,-22.785757099040953],[-43.22176094585565,-22.78581142579861]]]}"
00000000000000000010,2.241676082862523,178.0,"{""type"":""Polygon"",""coordinates"":[[[-43.21683464657985,-22.790270522993683],[-43.21196701802931,-22.790215930426243],[-43.21202587605266,-22.785702577626797],[-43.21689335122097,-22.785757099040953],[-43.21683464657985,-22.790270522993683]]]}"
00000000000000000011,5.835058786643673,16.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19255104221303,-22.785483071915337],[-43.19249157037832,-22.789996430940786],[-43.187619073954494,-22.789941168036414],[-43.18767877320066,-22.785427782672627],[-43.19255104221303,-22.785483071915337]]]}"
00000000000000000012,16.61608045248243,28.0,"{""type"":""Polygon"",""coordinates"":[[[-43.18767877320066,-22.785427782672627],[-43.187619073954494,-22.789941168036414],[-43.18275150013121,-22.789885702817312],[-43.182811352932625,-22.785372461868064],[-43.18767877320066,-22.785427782672627]]]}"
00000000000000000013,11.906654111738852,39.0,"{""type"":""Polygon"",""coordinates"":[[[-43.182811352932625,-22.785372461868064],[-43.18275150013121,-22.789885702817312],[-43.177883899235006,-22.7898301653669],[-43.17794390561932,-22.78531692322704],[-43.182811352932625,-22.785372461868064]]]}"
00000000000000000014,32.21743846997964,50.0,"{""type"":""Polygon"",""coordinates"":[[[-43.17794390561932,-22.78531692322704],[-43.177883899235006,-22.7898301653669],[-43.17301154139809,-22.78977446495759],[-43.173071627492035,-22.785261173365836],[-43.17794390561932,-22.78531692322704]]]}"
00000000000000000015,42.11949705274919,59.0,"{""type"":""Polygon"",""coordinates"":[[[-43.173071627492035,-22.785261173365836],[-43.17301154139809,-22.78977446495759],[-43.168143960291296,-22.78971861244491],[-43.16820427392995,-22.785205367882604],[-43.173071627492035,-22.785261173365836]]]}"
00000000000000000016,38.16666562042926,65.0,"{""type"":""Polygon"",""coordinates"":[[[-43.16820427392995,-22.785205367882604],[-43.168143960291296,-22.78971861244491],[-43.1632764265252,-22.789662590148478],[-43.16333689382952,-22.785149344594426],[-43.16820427392995,-22.785205367882604]]]}"
00000000000000000017,12.962153170119262,69.0,"{""type"":""Polygon"",""coordinates"":[[[-43.16333689382952,-22.785149344594426],[-43.1632764265252,-22.789662590148478],[-43.15840894028068,-22.789606470944324],[-43.15846948735021,-22.78509324921757],[-43.16333689382952,-22.785149344594426]]]}"
00000000000000000018,4.268165297141879,131.0,"{""type"":""Polygon"",""coordinates"":[[[-43.241120181380815,-22.795058780352754],[-43.23625232145395,-22.795004917811703],[-43.23631041290411,-22.790487038372763],[-43.24117819339339,-22.79054080557457],[-43.241120181380815,-22.795058780352754]]]}"
00000000000000000019,4.456450367543205,139.0,"{""type"":""Polygon"",""coordinates"":[[[-43.231442677309616,-22.79043317394848],[-43.23631041290411,-22.790487038372763],[-43.23625232145395,-22.795004917811703],[-43.23138435876653,-22.794951080350877],[-43.231442677309616,-22.79043317394848]]]}"
0000000000000000001a,4.9132260717267595,147.0,"{""type"":""Polygon"",""coordinates"":[[[-43.231442677309616,-22.79043317394848],[-43.23138435876653,-22.794951080350877],[-43.22651651494085,-22.794896975233947],[-43.2265749129626,-22.79037909150697],[-43.231442677309616,-22.79043317394848]]]}"
