"","x","y","date","timepoint","cell.id","Population","In.project","dengue_cases","chik_cases","dengue_cases_confirmed","chik_cases_confirmed","release_zone","nb_trap_collections","aegypti_captured","wmel_aegypti_captured","wmel_pctg","year","month","temp_c_mean_idw","month_of_release","cluster"
"1",684293.459172921,7477843.1164987,2017-08-01,92,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,8,21.1089275551856,NA,"Low Success"
"2",684293.459172921,7477843.1164987,2017-09-01,93,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,9,23.866627166383,NA,"Low Success"
"3",684293.459172921,7477843.1164987,2017-10-01,94,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,10,25.1560785753076,NA,"Low Success"
"4",684293.459172921,7477843.1164987,2017-11-01,95,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,11,24.9774687809193,NA,"Low Success"
"5",684293.459172921,7477843.1164987,2017-12-01,96,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",4,5,0,0,2017,12,26.1076525157313,1,"Low Success"
"6",684293.459172921,7477843.1164987,2018-01-01,97,1,3254.66873550415,TRUE,0,1,0,1,"RJ1",11,99,3,0.0590277777777778,2018,1,27.4440883673287,2,"Low Success"
"7",684293.459172921,7477843.1164987,2018-02-01,98,1,3254.66873550415,TRUE,0,2,0,1,"RJ1",9,34,1,0.0416666666666667,2018,2,26.514502726998,3,"Low Success"
"8",684293.459172921,7477843.1164987,2018-03-01,99,1,3254.66873550415,TRUE,0,2,0,1,"RJ1",12,105,3.4,0.02,2018,3,27.4293235724296,4,"Low Success"
"9",684293.459172921,7477843.1164987,2018-04-01,100,1,3254.66873550415,TRUE,0,1,0,1,"RJ1",12,107,5.4,0.0333333333333333,2018,4,25.2129774989241,5,"Low Success"
"10",684293.459172921,7477843.1164987,2018-05-01,101,1,3254.66873550415,TRUE,0,1,0,0,"RJ1",9,141,42.4,0.311111111111111,2018,5,23.1038860477802,6,"Low Success"
"11",684293.459172921,7477843.1164987,2018-06-01,102,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,137,48.5,0.292857142857143,2018,6,22.4973257392627,7,"Low Success"
"12",684293.459172921,7477843.1164987,2018-07-01,103,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,36,13.1818181818182,0.347474747474747,2018,7,22.6228115769562,8,"Low Success"
"13",684293.459172921,7477843.1164987,2018-08-01,104,1,3254.66873550415,TRUE,1,0,0,0,"RJ1",12,59,8.5,0.19047619047619,2018,8,21.2608302646323,9,"Low Success"
"14",684293.459172921,7477843.1164987,2018-09-01,105,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,33,2,0.24,2018,9,23.2779311292703,10,"Low Success"
"15",684293.459172921,7477843.1164987,2018-10-01,106,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",15,44,6,0.241666666666667,2018,10,23.9426128857646,11,"Low Success"
"16",684293.459172921,7477843.1164987,2018-11-01,107,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",9,40,2,0.0952380952380952,2018,11,25.2551131816469,12,"Low Success"
"17",684293.459172921,7477843.1164987,2018-12-01,108,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",9,29,2,0.0916666666666667,2018,12,26.9869688313077,13,"Low Success"
"18",684293.459172921,7477843.1164987,2019-01-01,109,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",15,59,12.375,0.229585537918871,2019,1,29.8259271889123,14,"Low Success"
"19",684293.459172921,7477843.1164987,2019-02-01,110,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,13,1,0.1,2019,2,27.6620328975537,15,"Low Success"
"20",684293.459172921,7477843.1164987,2019-03-01,111,1,3254.66873550415,TRUE,0,2,0,1,"RJ1",9,72,7,0.152777777777778,2019,3,26.897532564316,16,"Low Success"
"21",684293.459172921,7477843.1164987,2019-04-01,112,1,3254.66873550415,TRUE,3,2,0,0,"RJ1",15,46,10,0.257142857142857,2019,4,26.4784892554178,17,"Low Success"
"22",684293.459172921,7477843.1164987,2019-05-01,113,1,3254.66873550415,TRUE,1,0,1,0,"RJ1",12,18,3,0.166666666666667,2019,5,24.7925439174995,18,"Low Success"
"23",684293.459172921,7477843.1164987,2019-06-01,114,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,38,28,0.383333333333333,2019,6,23.582877115079,19,"Low Success"
"24",684293.459172921,7477843.1164987,2019-07-01,115,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",15,71,35.4285714285714,0.326835317460317,2019,7,21.7825927984632,20,"Low Success"
"25",684293.459172921,7477843.1164987,2019-08-01,116,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,32,0,0,2019,8,21.489244951984,21,"Low Success"
"26",684293.459172921,7477843.1164987,2019-09-01,117,1,3254.66873550415,TRUE,0,0,0,0,"RJ1",12,22,1,0.0285714285714286,2019,9,22.9983881215505,22,"Low Success"
"27",684793.459172921,7477343.1164987,2017-08-01,92,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,8,21.1071061260884,NA,"Low Success"
"28",684793.459172921,7477343.1164987,2017-09-01,93,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,9,23.8553445243418,NA,"Low Success"
"29",684793.459172921,7477343.1164987,2017-10-01,94,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",4,4,0,0,2017,10,25.1516120993693,1,"Low Success"
"30",684793.459172921,7477343.1164987,2017-11-01,95,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",5,18,4,0.183333333333333,2017,11,24.9706399561443,2,"Low Success"
"31",684793.459172921,7477343.1164987,2017-12-01,96,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",10,53,6.72727272727273,0.133658008658009,2017,12,26.1027280632791,3,"Low Success"
"32",684793.459172921,7477343.1164987,2018-01-01,97,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",20,133,13.3,0.0969444444444444,2018,1,27.4426010045433,4,"Low Success"
"33",684793.459172921,7477343.1164987,2018-02-01,98,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",12,37,2,0.166666666666667,2018,2,26.5178499813065,5,"Low Success"
"34",684793.459172921,7477343.1164987,2018-03-01,99,2,2998.52170753479,TRUE,0,4,0,0,"RJ1",16,67,7,0.120695970695971,2018,3,27.4233492554845,6,"Low Success"
"35",684793.459172921,7477343.1164987,2018-04-01,100,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",16,61,14.9,0.401666666666667,2018,4,25.2086815362985,7,"Low Success"
"36",684793.459172921,7477343.1164987,2018-05-01,101,2,2998.52170753479,TRUE,0,1,0,0,"RJ1",13,69,32.9555555555556,0.499206349206349,2018,5,23.1032297219217,8,"Low Success"
"37",684793.459172921,7477343.1164987,2018-06-01,102,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",16,70,24.2,0.384523809523809,2018,6,22.5006796084277,9,"Low Success"
"38",684793.459172921,7477343.1164987,2018-07-01,103,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",16,27,13.7142857142857,0.378684807256236,2018,7,22.619857485208,10,"Low Success"
"39",684793.459172921,7477343.1164987,2018-08-01,104,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",17,36,16.2,0.40952380952381,2018,8,21.2617384934822,11,"Low Success"
"40",684793.459172921,7477343.1164987,2018-09-01,105,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",16,26,10,0.416666666666667,2018,9,23.2752312851341,12,"Low Success"
"41",684793.459172921,7477343.1164987,2018-10-01,106,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",20,44,9.4,0.275,2018,10,23.9414523907681,13,"Low Success"
"42",684793.459172921,7477343.1164987,2018-11-01,107,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",13,15,6,0.385416666666667,2018,11,25.2526979633268,14,"Low Success"
"43",684793.459172921,7477343.1164987,2018-12-01,108,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",12,68,29,0.175510204081633,2018,12,26.9791627073398,15,"Low Success"
"44",684793.459172921,7477343.1164987,2019-01-01,109,2,2998.52170753479,TRUE,2,0,0,0,"RJ1",20,46,17.5,0.472321428571429,2019,1,29.8175218655203,16,"Low Success"
"45",684793.459172921,7477343.1164987,2019-02-01,110,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",16,24,7.2,0.414285714285714,2019,2,27.659721631174,17,"Low Success"
"46",684793.459172921,7477343.1164987,2019-03-01,111,2,2998.52170753479,TRUE,0,3,0,0,"RJ1",12,56,26.3333333333333,0.509259259259259,2019,3,26.8948839262822,18,"Low Success"
"47",684793.459172921,7477343.1164987,2019-04-01,112,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",19,16,5,0.3,2019,4,26.4707700015782,19,"Low Success"
"48",684793.459172921,7477343.1164987,2019-05-01,113,2,2998.52170753479,TRUE,0,1,0,0,"RJ1",17,20,3,0.0857142857142857,2019,5,24.7838362579356,20,"Low Success"
"49",684793.459172921,7477343.1164987,2019-06-01,114,2,2998.52170753479,TRUE,0,2,0,2,"RJ1",16,31,15.3333333333333,0.558333333333333,2019,6,23.5738414212721,21,"Low Success"
"50",684793.459172921,7477343.1164987,2019-07-01,115,2,2998.52170753479,TRUE,1,0,0,0,"RJ1",19,42,27,0.611210317460317,2019,7,21.7729552152837,22,"Low Success"
"51",684793.459172921,7477343.1164987,2019-08-01,116,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",17,27,16.8,0.36,2019,8,21.4798989892283,23,"Low Success"
"52",684793.459172921,7477343.1164987,2019-09-01,117,2,2998.52170753479,TRUE,0,0,0,0,"RJ1",16,26,13,0.435416666666667,2019,9,22.9950131364808,24,"Low Success"
"53",684793.459172921,7477843.1164987,2017-08-01,92,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,8,21.1024725143744,NA,"Moderate Success"
"54",684793.459172921,7477843.1164987,2017-09-01,93,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,9,23.8528037139798,NA,"Moderate Success"
"55",684793.459172921,7477843.1164987,2017-10-01,94,3,3403.82389068604,TRUE,0,1,0,1,"RJ1",12,101,8.2,0.0625,2017,10,25.1462143663078,1,"Moderate Success"
"56",684793.459172921,7477843.1164987,2017-11-01,95,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",20,229,40.4,0.205208333333333,2017,11,24.9673915143472,2,"Moderate Success"
"57",684793.459172921,7477843.1164987,2017-12-01,96,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",18,141,4.66666666666667,0.047008547008547,2017,12,26.0984430592445,3,"Moderate Success"
"58",684793.459172921,7477843.1164987,2018-01-01,97,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",21,91,14.5,0.311111111111111,2018,1,27.4377481193526,4,"Moderate Success"
"59",684793.459172921,7477843.1164987,2018-02-01,98,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",12,52,14.9272727272727,0.251010101010101,2018,2,26.5104220364049,5,"Moderate Success"
"60",684793.459172921,7477843.1164987,2018-03-01,99,3,3403.82389068604,TRUE,0,1,0,0,"RJ1",16,137,45.8777777777778,0.307169312169312,2018,3,27.4189270121911,6,"Moderate Success"
"61",684793.459172921,7477843.1164987,2018-04-01,100,3,3403.82389068604,TRUE,0,1,0,0,"RJ1",16,85,40.4,0.533730158730159,2018,4,25.2029125127348,7,"Moderate Success"
"62",684793.459172921,7477843.1164987,2018-05-01,101,3,3403.82389068604,TRUE,1,0,0,0,"RJ1",16,23,10.2,0.55,2018,5,23.0958546929696,8,"Moderate Success"
"63",684793.459172921,7477843.1164987,2018-06-01,102,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",16,43,30.3,0.743333333333333,2018,6,22.4924195850123,9,"Moderate Success"
"64",684793.459172921,7477843.1164987,2018-07-01,103,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",16,13,6,0.40625,2018,7,22.6140780673058,10,"Moderate Success"
"65",684793.459172921,7477843.1164987,2018-08-01,104,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",20,6,4,0.7,2018,8,21.2545765364353,11,"Moderate Success"
"66",684793.459172921,7477843.1164987,2018-09-01,105,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",16,42,27.9,0.633333333333333,2018,9,23.2694325355114,12,"Moderate Success"
"67",684793.459172921,7477843.1164987,2018-10-01,106,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",14,45,39,0.905555555555556,2018,10,23.9360385173309,13,"Moderate Success"
"68",684793.459172921,7477843.1164987,2018-11-01,107,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",8,89,84,0.791666666666667,2018,11,25.2471368322174,14,"Moderate Success"
"69",684793.459172921,7477843.1164987,2018-12-01,108,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",6,100,71.4,0.375,2018,12,26.9748931074234,15,"Moderate Success"
"70",684793.459172921,7477843.1164987,2019-01-01,109,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",10,87,75.8,0.8,2019,1,29.8131878243483,16,"Moderate Success"
"71",684793.459172921,7477843.1164987,2019-02-01,110,3,3403.82389068604,TRUE,1,0,0,0,"RJ1",8,9,7,0.5,2019,2,27.6545300513292,17,"Moderate Success"
"72",684793.459172921,7477843.1164987,2019-03-01,111,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",6,29,8.7,0.3,2019,3,26.8900871139173,18,"Moderate Success"
"73",684793.459172921,7477843.1164987,2019-04-01,112,3,3403.82389068604,TRUE,0,1,0,0,"RJ1",8,43,23,0.5375,2019,4,26.4679618229093,19,"Moderate Success"
"74",684793.459172921,7477843.1164987,2019-05-01,113,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",10,10,5,0.333333333333333,2019,5,24.7812015136211,20,"Moderate Success"
"75",684793.459172921,7477843.1164987,2019-06-01,114,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",8,7,3,0.5,2019,6,23.5712700131134,21,"Moderate Success"
"76",684793.459172921,7477843.1164987,2019-07-01,115,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",8,2,2,1,2019,7,21.7710478365735,22,"Moderate Success"
"77",684793.459172921,7477843.1164987,2019-08-01,116,3,3403.82389068604,TRUE,1,0,0,0,"RJ1",10,7,5,0.833333333333333,2019,8,21.4784518166026,23,"Moderate Success"
"78",684793.459172921,7477843.1164987,2019-09-01,117,3,3403.82389068604,TRUE,0,0,0,0,"RJ1",8,14,9,0.821428571428571,2019,9,22.989220094948,24,"Moderate Success"
"79",684793.459172921,7478343.1164987,2017-08-01,92,4,295.282703399658,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,8,21.0984541796344,NA,"Moderate Success"
"80",684793.459172921,7478343.1164987,2017-09-01,93,4,295.282703399658,TRUE,0,0,0,0,"RJ1",0,NA,NA,NA,2017,9,23.8507866025566,NA,"Moderate Success"
"81",684793.459172921,7478343.1164987,2017-10-01,94,4,295.282703399658,TRUE,0,0,0,0,"RJ1",4,48,10,0.175,2017,10,25.1414778518322,1,"Moderate Success"
"82",684793.459172921,7478343.1164987,2017-11-01,95,4,295.282703399658,TRUE,0,0,0,0,"RJ1",5,58,20.4,0.3,2017,11,24.964600450582,2,"Moderate Success"
"83",684793.459172921,7478343.1164987,2017-12-01,96,4,295.282703399658,TRUE,0,0,0,0,"RJ1",4,49,9,0.2,2017,12,26.0947013239063,3,"Moderate Success"
"84",684793.459172921,7478343.1164987,2018-01-01,97,4,295.282703399658,TRUE,0,0,0,0,"RJ1",5,14,2.8,0.2,2018,1,27.433485631725,4,"Moderate Success"
